case_id,case_type,probe_query,status_code,match_count,matched_files,first_match_snippet
normal-01,normal,grocery store,200,1,data/docs/example_set/normal_01_grocery_budget_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $120.00 to Grocery Store on 2025-03-05 - Received $200.00 from Employer...
normal-02,normal,rent,200,1,data/docs/example_set/normal_02_rent_reminder.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $950.00 for Rent on 2025-03-03 - Received $200.00 from Employer on...
normal-03,normal,salary deposit,200,1,data/docs/example_set/normal_03_salary_deposit_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $45.00 to Transit on 2025-03-02 - Received $2400.00 from Employer on...
normal-04,normal,travel reimbursement,200,1,data/docs/example_set/normal_04_reimbursement_receipt.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $120.00 for a work trip on 2025-03-04 - Received $120.00 from Travel...
normal-05,normal,savings goal,200,1,data/docs/example_set/normal_05_savings_transfer_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $300.00 into Savings on 2025-03-07 - Received $300.00 from Checking on...
ambiguous-01,ambiguous,transactions,200,10,data/docs/example_set/normal_01_grocery_budget_note.txt; data/docs/example_set/normal_02_rent_reminder.txt; data/docs/example_set/normal_03_salary_deposit_note.txt; data/docs/example_set/normal_04_reimbursement_receipt.txt; data/docs/example_set/normal_05_savings_transfer_note.txt; data/docs/example_set/ambiguous_01_shared_transaction_note.txt; data/docs/example_set/ambiguous_02_shared_notes_note.txt; data/docs/example_set/ambiguous_03_shared_march_note.txt; data/docs/example_set/adversarial_01_sql_like_note.txt; data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $120.00 to Grocery Store on 2025-03-05 - Received $200.00 from Employer...
ambiguous-02,ambiguous,notes,200,10,data/docs/example_set/normal_01_grocery_budget_note.txt; data/docs/example_set/normal_02_rent_reminder.txt; data/docs/example_set/normal_03_salary_deposit_note.txt; data/docs/example_set/normal_04_reimbursement_receipt.txt; data/docs/example_set/normal_05_savings_transfer_note.txt; data/docs/example_set/ambiguous_01_shared_transaction_note.txt; data/docs/example_set/ambiguous_02_shared_notes_note.txt; data/docs/example_set/ambiguous_03_shared_march_note.txt; data/docs/example_set/adversarial_01_sql_like_note.txt; data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $120.00 to Grocery Store on 2025-03-05 - Received $200.00 from Employer...
ambiguous-03,ambiguous,March 2025,200,10,data/docs/example_set/normal_01_grocery_budget_note.txt; data/docs/example_set/normal_02_rent_reminder.txt; data/docs/example_set/normal_03_salary_deposit_note.txt; data/docs/example_set/normal_04_reimbursement_receipt.txt; data/docs/example_set/normal_05_savings_transfer_note.txt; data/docs/example_set/ambiguous_01_shared_transaction_note.txt; data/docs/example_set/ambiguous_02_shared_notes_note.txt; data/docs/example_set/ambiguous_03_shared_march_note.txt; data/docs/example_set/adversarial_01_sql_like_note.txt; data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 transactions: - Paid $120.00 to Grocery Store on 2025-03-05 - Received $200.00 from Employer...
adversarial-01,adversarial,delete database,200,0,,
adversarial-02,adversarial,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,200,0,,
adversarial-03,adversarial,@@@@@@,200,0,,
